Nuklid,e_inh,e_ing,LE,LA,CA
Hf-182,3.60E-007,3.00E-009,3.00E+003,1.00E+004,2.00E+001
Hf-182m,7.10E-011,4.20E-011,2.00E+005,7.00E+007,1.00E+005
Hf-183,8.30E-011,7.30E-011,1.00E+005,6.00E+007,1.00E+005
Hf-184,4.50E-010,5.20E-010,2.00E+004,1.00E+007,2.00E+004
Ta-172,5.70E-011,5.30E-011,2.00E+005,9.00E+007,1.00E+005
Ta-173,1.60E-010,1.90E-010,5.00E+004,3.00E+007,5.00E+004
Ta-174,6.60E-011,5.70E-011,2.00E+005,8.00E+007,1.00E+005
Ta-175,2.00E-010,2.10E-010,5.00E+004,3.00E+007,4.00E+004
Ta-176,3.30E-010,3.10E-010,3.00E+004,2.00E+007,3.00E+004
Ta-177,1.30E-010,1.10E-010,9.00E+004,4.00E+007,6.00E+004
Ta-178,1.10E-010,7.80E-011,1.00E+005,5.00E+007,8.00E+004
Ta-179,2.90E-010,6.50E-011,2.00E+005,2.00E+007,3.00E+004
Ta-180,1.40E-008,8.40E-010,1.00E+004,4.00E+005,6.00E+002
Ta-180m,6.20E-011,5.40E-011,2.00E+005,8.00E+007,1.00E+005
Ta-182,7.40E-009,1.50E-009,7.00E+003,7.00E+005,1.00E+003
Ta-182m,3.60E-011,1.20E-011,8.00E+005,1.00E+008,2.00E+005
Ta-183,2.00E-009,1.30E-009,8.00E+003,3.00E+006,4.00E+003
,,,,,
,,,,,
Ta-184,6.30E-010,6.80E-010,1.00E+004,8.00E+006,1.00E+004
Ta-185,7.20E-011,6.80E-011,1.00E+005,7.00E+007,1.00E+005
Ta-186,3.10E-011,3.30E-011,3.00E+005,2.00E+008,3.00E+005
W-176,7.60E-011,1.10E-010,9.00E+004,7.00E+007,1.00E+005
W-177,4.60E-011,6.10E-011,2.00E+005,1.00E+008,2.00E+005
W-178/Ta-178,1.20E-010,2.50E-010,4.00E+004,4.00E+007,7.00E+004
W-179,1.80E-012,3.30E-012,3.00E+006,3.00E+009,5.00E+006
W-181,4.30E-011,8.20E-011,1.00E+005,1.00E+008,2.00E+005
W-185,2.20E-010,5.00E-010,2.00E+004,2.00E+007,4.00E+004
W-187,3.30E-010,7.10E-010,1.00E+004,2.00E+007,3.00E+004
W-188,8.40E-010,2.30E-009,4.00E+003,6.00E+006,1.00E+004
Re-177,2.20E-011,2.20E-011,5.00E+005,2.00E+008,4.00E+005
Re-178,2.40E-011,2.50E-011,4.00E+005,2.00E+008,3.00E+005
Re-181,3.70E-010,4.20E-010,2.00E+004,1.00E+007,2.00E+004
Re-182,1.70E-009,1.40E-009,7.00E+003,3.00E+006,5.00E+003
Re-183,1.80E-009,7.60E-010,1.00E+004,3.00E+006,5.00E+003
Re-184,1.80E-009,1.00E-009,1.00E+004,3.00E+006,5.00E+003
Re-184m,4.80E-009,1.50E-009,7.00E+003,1.00E+006,2.00E+003
Re-186,1.20E-009,1.50E-009,7.00E+003,4.00E+006,7.00E+003
Re-186m,7.90E-009,2.20E-009,5.00E+003,6.00E+005,1.00E+003
Re-187,4.60E-012,5.10E-012,2.00E+006,1.00E+009,2.00E+006
Re-188,7.40E-010,1.40E-009,7.00E+003,7.00E+006,1.00E+004
Re-188m,2.00E-011,3.00E-011,3.00E+005,3.00E+008,4.00E+005
Re-189,6.00E-010,7.80E-010,1.00E+004,8.00E+006,1.00E+004
Os-180/Re-180,2.50E-011,1.70E-011,6.00E+005,2.00E+008,3.00E+005
Os-181,1.00E-010,8.90E-011,1.00E+005,5.00E+007,8.00E+004
Os-182,5.20E-010,5.60E-010,2.00E+004,1.00E+007,2.00E+004
,,,,,
,,,,,
Os-185,1.40E-009,5.10E-010,2.00E+004,4.00E+006,6.00E+003
Os-189m,7.90E-012,1.80E-011,6.00E+005,6.00E+008,1.00E+006
Os-191,1.50E-009,5.70E-010,2.00E+004,3.00E+006,6.00E+003
Os-191m,1.40E-010,9.60E-011,1.00E+005,4.00E+007,6.00E+004
Os-193,6.80E-010,8.10E-010,1.00E+004,7.00E+006,1.00E+004
Os-194,4.20E-008,2.40E-009,4.00E+003,1.00E+005,2.00E+002
Ir-182,4.00E-011,4.80E-011,2.00E+005,1.00E+008,2.00E+005
Ir-184,1.90E-010,1.70E-010,6.00E+004,3.00E+007,4.00E+004
Ir-185,2.60E-010,2.60E-010,4.00E+004,2.00E+007,3.00E+004
Ir-186,5.00E-010,4.90E-010,2.00E+004,1.00E+007,2.00E+004
Ir-187,1.20E-010,1.20E-010,8.00E+004,4.00E+007,7.00E+004
Ir-188,6.20E-010,6.30E-010,2.00E+004,8.00E+006,1.00E+004
Ir-189,4.60E-010,2.40E-010,4.00E+004,1.00E+007,2.00E+004
Ir-190,2.50E-009,1.20E-009,8.00E+003,2.00E+006,3.00E+003
Ir-190m,1.40E-010,1.20E-010,8.00E+004,4.00E+007,6.00E+004
Ir-192,4.90E-009,1.40E-009,7.00E+003,1.00E+006,2.00E+003
Ir-192m,1.90E-008,3.10E-010,3.00E+004,3.00E+005,4.00E+002
Ir-193m,1.00E-009,2.70E-010,4.00E+004,5.00E+006,8.00E+003
Ir-194,7.50E-010,1.30E-009,8.00E+003,7.00E+006,1.00E+004
Ir-194m,8.20E-009,2.10E-009,5.00E+003,6.00E+005,1.00E+003
Ir-195,1.00E-010,1.00E-010,1.00E+005,5.00E+007,8.00E+004
Ir-195m,2.40E-010,2.10E-010,5.00E+004,2.00E+007,3.00E+004
Pt-186,6.60E-011,9.30E-011,1.00E+005,8.00E+007,1.00E+005
Pt-188,6.30E-010,7.60E-010,1.00E+004,8.00E+006,1.00E+004
Pt-189,7.30E-011,1.20E-010,8.00E+004,7.00E+007,1.00E+005
,,,,,
,,,,,
Pt-190,2.30E-007,8.20E-009,1.00E+003,2.00E+004,4.00E+001
Pt-191,1.90E-010,3.40E-010,3.00E+004,3.00E+007,4.00E+004
Pt-193,2.70E-011,3.10E-011,3.00E+005,2.00E+008,3.00E+005
Pt-193m,2.10E-010,4.50E-010,2.00E+004,2.00E+007,4.00E+004
Pt-195m,3.10E-010,6.30E-010,2.00E+004,2.00E+007,3.00E+004
Pt-197,1.60E-010,4.00E-010,3.00E+004,3.00E+007,5.00E+004
Pt-197m,4.30E-011,8.40E-011,1.00E+005,1.00E+008,2.00E+005
Pt-199,2.20E-011,3.90E-011,3.00E+005,2.00E+008,4.00E+005
Pt-200,4.00E-010,1.20E-009,8.00E+003,1.00E+007,2.00E+004
Au-193,1.60E-010,1.30E-010,8.00E+004,3.00E+007,5.00E+004
Au-194,3.80E-010,4.20E-010,2.00E+004,1.00E+007,2.00E+004
Au-195,1.20E-009,2.50E-010,4.00E+004,4.00E+006,7.00E+003
Au-196,3.70E-010,4.40E-010,2.00E+004,1.00E+007,2.00E+004
Au-198,1.10E-009,1.00E-009,1.00E+004,5.00E+006,8.00E+003
Au-198m,2.00E-009,1.30E-009,8.00E+003,3.00E+006,4.00E+003
Au-199,7.60E-010,4.40E-010,2.00E+004,7.00E+006,1.00E+004
Au-200,5.60E-011,6.80E-011,1.00E+005,9.00E+007,1.00E+005
Au-200m,1.00E-009,1.10E-009,9.00E+003,5.00E+006,8.00E+003
Au-201,2.90E-011,2.40E-011,4.00E+005,2.00E+008,3.00E+005
Hg-193,1.00E-010,8.20E-011,1.00E+005,5.00E+007,8.00E+004
Hg-193m,3.80E-010,4.00E-010,3.00E+004,1.00E+007,2.00E+004
Hg-194,1.90E-008,5.10E-008,2.00E+002,3.00E+005,4.00E+002
Hg-195,9.20E-011,9.70E-011,1.00E+005,5.00E+007,9.00E+004
Hg-195m,6.50E-010,5.60E-010,2.00E+004,8.00E+006,1.00E+004
Hg-197,2.80E-010,2.30E-010,4.00E+004,2.00E+007,3.00E+004
Hg-197m,6.60E-010,4.70E-010,2.00E+004,8.00E+006,1.00E+004
Hg-199m,5.20E-011,3.10E-011,3.00E+005,1.00E+008,2.00E+005
Hg-203,1.90E-009,1.90E-009,5.00E+003,3.00E+006,4.00E+003
,,,,,
,,,,,
Tl-194,8.90E-012,8.10E-012,1.00E+006,6.00E+008,9.00E+005
Tl-194m,3.60E-011,4.00E-011,3.00E+005,1.00E+008,2.00E+005
Tl-195,3.00E-011,2.70E-011,4.00E+005,2.00E+008,3.00E+005
Tl-197,2.70E-011,2.30E-011,4.00E+005,2.00E+008,3.00E+005
Tl-198,1.20E-010,7.30E-011,1.00E+005,4.00E+007,7.00E+004
Tl-198m,7.30E-011,5.40E-011,2.00E+005,7.00E+007,1.00E+005
Tl-199,3.70E-011,2.60E-011,4.00E+005,1.00E+008,2.00E+005
Tl-200,2.50E-010,2.00E-010,5.00E+004,2.00E+007,3.00E+004
Tl-201,7.60E-011,9.50E-011,1.00E+005,7.00E+007,1.00E+005
Tl-202,3.10E-010,4.50E-010,2.00E+004,2.00E+007,3.00E+004
Tl-204,6.20E-010,1.30E-009,8.00E+003,8.00E+006,1.00E+004
Pb-195m,3.00E-011,2.90E-011,3.00E+005,2.00E+008,3.00E+005
Pb-198,8.70E-011,1.00E-010,1.00E+005,6.00E+007,1.00E+005
Pb-199,4.80E-011,5.40E-011,2.00E+005,1.00E+008,2.00E+005
Pb-200,2.60E-010,4.00E-010,3.00E+004,2.00E+007,3.00E+004
Pb-201,1.20E-010,1.60E-010,6.00E+004,4.00E+007,7.00E+004
Pb-202,1.40E-008,8.70E-009,1.00E+003,4.00E+005,6.00E+002
Pb-202m,1.20E-010,1.30E-010,8.00E+004,4.00E+007,7.00E+004
Pb-203,1.60E-010,2.40E-010,4.00E+004,3.00E+007,5.00E+004
Pb-205,4.10E-010,2.80E-010,4.00E+004,1.00E+007,2.00E+004
Pb-209,3.20E-011,5.70E-011,2.00E+005,2.00E+008,3.00E+005
Pb-210,1.10E-006,6.80E-007,1.00E+001,5.00E+003,8.00E+000
Pb-211,5.60E-009,1.80E-010,6.00E+004,9.00E+005,1.00E+003
Pb-212,3.30E-008,5.90E-009,2.00E+003,2.00E+005,3.00E+002
Pb-214,4.80E-009,1.40E-010,7.00E+004,1.00E+006,2.00E+003
Bi-200,5.60E-011,5.10E-011,2.00E+005,9.00E+007,1.00E+005
Bi-201,1.10E-010,1.20E-010,8.00E+004,5.00E+007,8.00E+004
,,,,,
,,,,,
Bi-202,1.00E-010,8.90E-011,1.00E+005,5.00E+007,8.00E+004
Bi-203,4.50E-010,4.80E-010,2.00E+004,1.00E+007,2.00E+004
Bi-205,1.00E-009,9.00E-010,1.00E+004,5.00E+006,8.00E+003
Bi-206,2.10E-009,1.90E-009,5.00E+003,2.00E+006,4.00E+003
Bi-207,3.20E-009,1.30E-009,8.00E+003,2.00E+006,3.00E+003
Bi-208,4.00E-009,1.40E-009,7.00E+003,1.00E+006,2.00E+003
Bi-210,6.00E-008,1.30E-009,8.00E+003,8.00E+004,1.00E+002
Bi-210m,2.10E-006,1.50E-008,7.00E+002,2.00E+003,4.00E+000
"Bi-212/Po-212,Tl-208",3.90E-008,2.60E-010,4.00E+004,1.00E+005,2.00E+002
"Bi-213/Po-213,Tl-209",4.10E-008,2.00E-010,5.00E+004,1.00E+005,2.00E+002
Bi-214,2.10E-008,1.10E-010,9.00E+004,2.00E+005,4.00E+002
Po-203,6.10E-011,5.20E-011,2.00E+005,8.00E+007,1.00E+005
Po-205,8.90E-011,5.90E-011,2.00E+005,6.00E+007,9.00E+004
Po-206,3.70E-007,1.30E-007,8.00E+001,1.00E+004,2.00E+001
Po-207,1.50E-010,1.40E-010,7.00E+004,3.00E+007,6.00E+004
Po-208,2.40E-006,7.70E-007,1.00E+001,2.00E+003,3.00E+000
Po-209,2.40E-006,7.70E-007,1.00E+001,2.00E+003,3.00E+000
Po-210,2.20E-006,2.40E-007,4.00E+001,2.00E+003,4.00E+000
At-207,1.90E-009,2.30E-010,4.00E+004,3.00E+006,4.00E+003
At-211,1.10E-007,1.10E-008,9.00E+002,5.00E+004,5.00E+001
Rn-220,0.00E+000,0.00E+000,0.00E+000,0.00E+000,1.00E+003
Rn-222,0.00E+000,0.00E+000,0.00E+000,0.00E+000,3.00E+003
Fr-222,2.10E-008,7.10E-010,1.00E+004,2.00E+005,4.00E+002
Fr-223,1.30E-009,2.30E-009,4.00E+003,4.00E+006,6.00E+003
,,,,,
,,,,,
Ra-223,5.70E-006,1.00E-007,1.00E+002,9.00E+002,1.00E+000
Ra-224,2.40E-006,6.50E-008,2.00E+002,2.00E+003,3.00E+000
Ra-225,4.80E-006,9.50E-008,1.00E+002,1.00E+003,2.00E+000
Ra-226,2.20E-006,2.80E-007,4.00E+001,2.00E+003,4.00E+000
Ra-227,2.10E-010,8.40E-011,1.00E+005,2.00E+007,4.00E+004
Ra-228,1.70E-006,6.70E-007,1.00E+001,3.00E+003,5.00E+000
Ac-224,9.90E-008,7.00E-010,1.00E+004,5.00E+004,8.00E+001
Ac-225,6.50E-006,2.40E-008,4.00E+002,8.00E+002,1.00E+000
Ac-226,1.00E-006,1.00E-008,1.00E+003,5.00E+003,8.00E+000
Ac-227,6.30E-004,1.10E-006,9.00E+000,9.00E+000,1.00E-002
Ac-228,2.90E-008,4.30E-010,2.00E+004,2.00E+005,3.00E+002
Th-226,7.80E-008,3.60E-010,3.00E+004,6.00E+004,1.00E+002
Th-227,7.60E-006,8.90E-009,1.00E+003,1.00E+003,1.00E+000
Th-228,3.20E-005,7.00E-008,1.00E+002,2.00E+002,3.00E-001
Th-229,6.90E-005,4.80E-007,2.00E+001,7.00E+001,1.00E-001
Th-230,2.80E-005,2.10E-007,5.00E+001,2.00E+002,3.00E-001
Th-231,4.00E-010,3.40E-010,3.00E+004,1.00E+007,2.00E+004
Th-232,2.90E-005,2.20E-007,5.00E+001,2.00E+002,3.00E-001
Th-234/Pa-234m,5.80E-009,3.40E-009,3.00E+003,9.00E+005,1.00E+003
Pa-227,9.70E-008,4.50E-010,2.00E+004,5.00E+004,9.00E+001
Pa-228,5.10E-008,7.80E-010,1.00E+004,1.00E+005,2.00E+002
,,,,,
,,,,,
Pa-230,5.70E-007,9.20E-010,1.00E+004,1.00E+004,1.00E+001
Pa-231,8.90E-005,7.10E-007,1.00E+001,6.00E+001,9.00E-002
Pa-232,6.80E-009,7.20E-010,1.00E+004,7.00E+005,1.00E+003
Pa-233,3.20E-009,8.70E-010,1.00E+004,2.00E+006,3.00E+003
Pa-234,5.80E-010,5.10E-010,2.00E+004,9.00E+006,1.00E+004
U-230,1.20E-005,5.50E-008,2.00E+002,4.00E+002,7.00E-001
U-231,4.00E-010,2.80E-010,4.00E+004,1.00E+007,2.00E+004
U-232,2.60E-005,3.30E-007,3.00E+001,2.00E+002,3.00E-001
U-233,6.90E-006,5.00E-008,2.00E+002,7.00E+002,1.00E+000
U-234,6.80E-006,4.90E-008,2.00E+002,7.00E+002,1.00E+000
U-235,6.10E-006,4.60E-008,2.00E+002,8.00E+002,1.00E+000
U-236,6.30E-006,4.60E-008,2.00E+002,8.00E+002,1.00E+000
U-237,1.70E-009,7.70E-010,1.00E+004,3.00E+006,5.00E+003
U-238,5.70E-006,4.40E-008,2.00E+002,9.00E+002,1.00E+000
U-239,3.50E-011,2.80E-011,4.00E+005,1.00E+008,2.00E+005
U-240,8.40E-010,1.10E-009,9.00E+003,6.00E+006,1.00E+004
Np-232,3.50E-011,9.70E-012,1.00E+006,1.00E+008,2.00E+005
Np-233,3.00E-012,2.20E-012,5.00E+006,2.00E+009,3.00E+006
Np-234,7.30E-010,8.10E-010,1.00E+004,7.00E+006,1.00E+004
Np-235,2.70E-010,5.30E-011,2.00E+005,2.00E+007,3.00E+004
Np-236,2.00E-006,1.70E-008,6.00E+002,3.00E+003,4.00E+000
Np-237,1.50E-005,1.10E-007,9.00E+001,3.00E+002,6.00E-001
Np-238,1.70E-009,9.10E-010,1.00E+004,3.00E+006,5.00E+003
Np-239,1.10E-009,8.00E-010,1.00E+004,5.00E+006,8.00E+003
Np-240,1.30E-010,8.20E-011,1.00E+005,4.00E+007,6.00E+004
,,,,,
,,,,,
Pu-234,1.80E-008,1.60E-010,6.00E+004,3.00E+005,5.00E+002
Pu-235,2.60E-012,2.10E-012,5.00E+006,2.00E+009,3.00E+006
Pu-236,1.30E-005,8.60E-008,1.00E+002,4.00E+002,6.00E-001
Pu-237,3.00E-010,1.00E-010,1.00E+005,2.00E+007,3.00E+004
Pu-238,3.00E-005,2.30E-007,4.00E+001,2.00E+002,3.00E-001
Pu-239,3.20E-005,2.50E-007,4.00E+001,2.00E+002,3.00E-001
Pu-240,3.20E-005,2.50E-007,4.00E+001,2.00E+002,3.00E-001
Pu-241,5.80E-007,4.70E-009,2.00E+003,9.00E+003,1.00E+001
Pu-242,3.10E-005,2.40E-007,4.00E+001,2.00E+002,3.00E-001
Pu-243,1.10E-010,8.50E-011,1.00E+005,5.00E+007,8.00E+004
Pu-244,3.00E-005,2.40E-007,4.00E+001,2.00E+002,3.00E-001
Pu-245,6.50E-010,7.20E-010,1.00E+004,8.00E+006,1.00E+004
Pu-246,7.00E-009,3.30E-009,3.00E+003,7.00E+005,1.00E+003
Am-237,3.60E-011,1.80E-011,6.00E+005,1.00E+008,2.00E+005
Am-238,6.60E-011,3.20E-011,3.00E+005,8.00E+007,1.00E+005
Am-239,2.90E-010,2.40E-010,4.00E+004,2.00E+007,3.00E+004
Am-240,5.90E-010,5.80E-010,2.00E+004,8.00E+006,1.00E+004
Am-241,2.70E-005,2.00E-007,5.00E+001,2.00E+002,3.00E-001
Am-242,1.20E-008,3.00E-010,3.00E+004,4.00E+005,7.00E+002
Am-242m,2.40E-005,1.90E-007,5.00E+001,2.00E+002,3.00E-001
Am-243,2.70E-005,2.00E-007,5.00E+001,2.00E+002,3.00E-001
Am-244,1.50E-009,4.60E-010,2.00E+004,3.00E+006,6.00E+003
Am-244m,6.20E-011,2.90E-011,3.00E+005,8.00E+007,1.00E+005
Am-245,7.60E-011,6.20E-011,2.00E+005,7.00E+007,1.00E+005
Am-246,1.10E-010,5.80E-011,2.00E+005,5.00E+007,8.00E+004
Am-246m,3.80E-011,3.40E-011,3.00E+005,1.00E+008,2.00E+005
Cm-238,4.80E-009,8.00E-011,1.00E+005,1.00E+006,2.00E+003
,,,,,
,,,,,
Cm-240,2.30E-006,7.60E-009,1.00E+003,2.00E+003,4.00E+000
Cm-241,2.60E-008,9.10E-010,1.00E+004,2.00E+005,3.00E+002
Cm-242,3.70E-006,1.20E-008,8.00E+002,1.00E+003,2.00E+000
Cm-243,2.00E-005,1.50E-007,7.00E+001,3.00E+002,4.00E-001
Cm-244,1.70E-005,1.20E-007,8.00E+001,3.00E+002,5.00E-001
Cm-245,2.70E-005,2.10E-007,5.00E+001,2.00E+002,3.00E-001
Cm-246,2.70E-005,2.10E-007,5.00E+001,2.00E+002,3.00E-001
Cm-247,2.50E-005,1.90E-007,5.00E+001,2.00E+002,3.00E-001
Cm-248,9.50E-005,7.70E-007,1.00E+001,5.00E+001,9.00E-002
Cm-249,5.10E-011,3.10E-011,3.00E+005,1.00E+008,2.00E+005
Cm-250,5.40E-004,4.40E-006,2.00E+000,9.00E+000,2.00E-002
Bk-245,1.80E-009,5.70E-010,2.00E+004,3.00E+006,5.00E+003
Bk-246,4.60E-010,4.80E-010,2.00E+004,1.00E+007,2.00E+004
Bk-247,4.50E-005,3.50E-007,3.00E+001,1.00E+002,2.00E-001
Bk-249,1.00E-007,9.70E-010,1.00E+004,5.00E+004,8.00E+001
Bk-250,7.10E-010,1.40E-010,7.00E+004,7.00E+006,1.00E+004
Cf-244,1.80E-008,7.00E-011,1.00E+005,3.00E+005,5.00E+002
Cf-246,3.50E-007,3.30E-009,3.00E+003,1.00E+004,2.00E+001
Cf-248,6.10E-006,2.80E-008,4.00E+002,8.00E+002,1.00E+000
Cf-249,4.50E-005,3.50E-007,3.00E+001,1.00E+002,2.00E-001
Cf-250,2.20E-005,1.60E-007,6.00E+001,2.00E+002,4.00E-001
Cf-251,4.60E-005,3.60E-007,3.00E+001,1.00E+002,2.00E-001
Cf-252,1.30E-005,9.00E-008,1.00E+002,4.00E+002,6.00E-001
Cf-253,1.00E-006,1.40E-009,7.00E+003,7.00E+003,8.00E+000
Cf-254,2.20E-005,4.00E-007,3.00E+001,2.00E+002,4.00E-001
Es-250,4.20E-010,2.10E-011,5.00E+005,1.00E+007,2.00E+004
Es-251,1.70E-009,1.70E-010,6.00E+004,3.00E+006,5.00E+003
Es-253,2.10E-006,6.10E-009,2.00E+003,2.00E+003,4.00E+000
,,,,,
,,,,,
Es-254,6.00E-006,2.80E-008,4.00E+002,8.00E+002,1.00E+000
Es-254m,3.70E-007,4.20E-009,2.00E+003,1.00E+004,2.00E+001
Fm-252,2.60E-007,2.70E-009,4.00E+003,2.00E+004,3.00E+001
Fm-253,3.00E-007,9.10E-010,1.00E+004,2.00E+004,3.00E+001
Fm-254,7.70E-008,4.40E-010,2.00E+004,6.00E+004,1.00E+002
Fm-255,2.60E-007,2.50E-009,4.00E+003,2.00E+004,3.00E+001
Fm-257,5.20E-006,1.50E-008,7.00E+002,1.00E+003,2.00E+000
Md-257,2.00E-008,1.20E-010,8.00E+004,3.00E+005,4.00E+002
Md-258,4.40E-006,1.30E-008,8.00E+002,1.00E+003,2.00E+000
